Item,Test code,Trade name,Generic name,Drug form,Dasage,Batch numbers,Exp.Date,Manufacturer,Country,Content/value deviation, API test result,Accepted range,Test result 0=Substadard 1=Meet standard 
57,ICARS:24.08.19.084,AMOXYCILLINE,Amoxicillin,Capsules,500 mg,2446010,03.2027,KPN,Laos,0.5721 g        (-3.1 ; 2.2),99.7%,90.0 - 110.0%,1
58,ICARS:24.08.19.085,MOXIPHARM,Amoxicillin,Capsule,500mg,128886,7/27/26,Medic,Thailand,0.5881 g          (-2.5 ; 3.3),99.5%,90.0 - 110.0%,1
59,ICARS:24.08.19.086,AMOXYLIN 500,Amoxicillin,Capsule,500 mg,2405045,20/05/2028,No.2,Laos,0.4734 g        (-4.3 ;5.0),101.1%,90.0 - 110.0%,1
60,ICARS:24.08.19.087,DOXYCYCLINE,Doxycycline,Capsules,100mg,312205,09.2026,Coduphar,Laos,0.2537 g        (-5.5 ; 4.1),108.6%,90.0 - 120.0%,1
61,ICARS:24.08.19.088,TETRA,Tetracycline,Tablet,250mg,216105,16/10/2025,Codupha-lao,Laos,0.3982 g        (-3.8 ; 5.6),102.1%,90.0 - 120.0%,1
62,ICARS:24.08.19.089,KLORAMPHENICOL,Chloramphenicol,Capsule,250mg,313306,06/07/2026,Codupha-lao,Laos,0.3879g        (-7.1 ; 5.6),99.7%,90.0 - 110.0%,1
63,ICARS:24.08.19.090,AMPICILLIN,Ampicillin,Capsule,250mg,2444009,05/05/2027,KPN,Laos,0.3574g       (-2.6 ;1.6),97.4%,90.0 - 110.0%,1
64,ICARS:24.08.19.091,KLORAMPHENICOL,Chloramphenicol,Capsule,250mg,313306,06/07/2026,Codupha-lao,Laos,0.3917g        (-4.8 ; 4.7),99.4%,90.0 - 110.0%,1
65,ICARS:24.08.19.092,AMPICILLIN,Ampicillin,Tablet,250mg,2444010,07/2027,KPN,Laos,0.3602 g        (-2.8 ; 2.3),96.1%,90.0 - 110.0%,1
66,ICARS:24.08.19.093,AMOXYCILLINE,Amoxicillin,Capsule,500mg,125425,26/12/2026,THE MEDICPHARMA,Thailand,0.6092 g        (-2.4 ; 2.5),102.1%,90.0 - 110.0%,1
67,ICARS:24.08.19.094,PENICILLINE ,Penicillin,Tablet,"500,000IU",120615,23/09/2025,THE MEDICPHARMA,Thailand,0.5761 g        (-4.8 ; 1.9),98.9%,90.0 - 120.0%,1
68,ICARS:24.08.19.095,AMPICILLINE,Ampicillin,Capsule,500mg,300542,12/2026,Coduphar,Laos,0.5979 g        (-1.4 ;2.5),97.9%,90.0 - 110.0%,1
69,ICARS:24.08.19.096,AMOXYCILLINE,Amoxicillin,Capsule,500mg,6422069,06/07/26,T.O LAB,Thailand,0.5860 g        (-1.9 ; 2.2),102.3%,90.0 - 110.0%,1
70,ICARS:24.08.19.097,METROZOL 500,Metronidazole,Tablet,500mg,2401020,14/01/28,Factory No:2,Laos,06276 g        (-4.1 ; 3.7),105.9%,92.5 - 107.5%,1
71,ICARS:24.08.19.098,DOXYCYCLINE,Doxycycline,Capsule,100mg,312205,09/26,Codupha-lao,Laos,0.2455 g        (-6.2 ; 6.2),103.0%,90.0 - 120.0%,1
72,ICARS:24.08.19.099,ERY 250,Erythromycin,Tablet,250mg,061223,06/26,CBF,Laos,0.3858g       (-5.0 ; 2.3),95.4%,90.0 - 120.0%,1
73,ICARS:24.08.19.100,AMOXYCILLINE,Amoxicillin,Capsule,500mg,300204,12.2026,Codupha-lao,Laos,0.5859 g        (-3.7 ; 3.4),101.3%,90.0 - 110.0%,1
74,ICARS:24.08.19.101,AMPICILLIN,Ampicillin,Capsule,500mg,2445012,07.27,KPN,Laos,0.5619g        (-1.0 ; 2.5),96.4%,90.0 - 110.0%,1
